Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
250010605000001;1;1528;1526;436;285;473;193;24;10;11;5;63;0;15;0;11;2;0;0;0;0;0;20;1;0;0;4;2;1;3;1;1;2;4;1;26;21;26;30;30;33;26;32;49;41;27;39;40;37;48;26;29;22;30;34;26;26;36;19;14;15;11;23;20;17;24;25;20;21;21;19;18;18;11;15;28;21;19;15;17;18;21;14;13;11;6;13;7;14;13;8;5;7;6;9;13;14;9;8;8;6;11;6;17;12;5;6;13;12;5;3;7;11;1;6;4;2;3;0;0;2;3;1;3;1;1;2;0;1;1;1;0;0;0;0
250010605000002;1;500;500;148;101;142;50;9;5;4;0;30;3;2;0;6;0;0;0;0;0;0;10;1;1;1;1;1;0;0;1;2;2;0;0;6;6;4;3;11;5;6;7;13;15;8;11;14;14;20;8;9;7;5;10;9;4;12;8;5;9;7;4;10;1;3;8;6;8;7;7;7;5;13;5;9;3;12;11;9;3;5;2;4;7;1;4;6;6;6;4;0;4;5;4;4;4;0;5;3;2;6;5;5;8;2;1;2;4;0;2;2;2;0;1;0;2;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
250010605000003;1;889;889;295;172;232;86;7;7;11;2;31;0;17;0;14;0;11;0;4;0;0;8;1;0;2;0;0;1;1;1;0;0;2;0;7;17;15;8;13;19;18;18;11;18;24;8;19;18;12;18;13;11;17;13;11;9;13;8;15;10;15;16;14;15;10;10;12;15;17;9;12;11;7;19;12;15;15;5;12;11;5;5;6;7;7;12;5;10;14;15;7;7;5;10;4;11;11;5;5;6;7;7;10;8;3;5;4;8;2;4;9;4;4;3;7;6;7;2;3;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0
250010605000004;8;860;860;217;178;350;39;11;9;1;0;40;2;3;0;6;2;2;0;0;0;0;15;2;0;1;0;3;0;1;2;3;1;0;2;19;13;21;10;20;16;12;23;18;19;22;27;23;25;24;19;20;17;8;18;14;16;23;13;20;15;10;19;9;7;9;6;15;12;9;9;15;8;6;7;10;7;7;9;8;4;3;5;5;11;8;14;2;7;7;6;7;4;9;2;3;5;8;12;6;9;6;7;7;4;2;6;4;1;2;0;2;1;2;0;0;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
250010605000005;5;667;667;199;134;191;81;3;8;3;0;41;1;2;0;3;1;0;0;0;0;0;11;0;0;0;3;0;1;0;0;2;3;0;2;17;9;16;6;16;7;14;13;15;16;12;15;16;18;13;12;11;15;14;16;13;10;13;20;11;12;11;7;22;14;9;2;10;6;4;5;7;4;2;12;2;9;6;5;7;3;9;9;8;6;2;5;8;10;8;5;5;9;3;3;2;6;9;7;2;2;3;3;2;4;1;6;4;0;0;2;2;0;0;0;3;2;1;4;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
250010605000006;8;604;604;157;123;239;29;4;2;5;2;19;0;9;1;6;6;2;0;0;0;0;6;0;3;0;0;1;0;1;0;0;1;0;0;7;10;9;11;14;9;14;8;4;16;12;16;20;16;22;10;10;14;4;15;7;10;15;8;11;9;9;9;9;9;7;13;9;10;9;11;9;2;2;5;7;4;4;9;8;10;6;3;6;8;5;9;3;8;4;5;11;1;2;7;3;6;1;2;1;4;5;4;1;5;0;3;5;2;0;2;0;2;1;1;3;0;2;3;2;1;0;1;2;0;0;1;0;0;0;0;0;1;0;0
250010605000007;8;371;371;98;78;147;17;2;3;1;0;16;0;3;0;5;0;1;0;0;0;0;7;1;0;0;0;1;1;0;1;0;1;2;0;5;9;7;5;9;6;5;5;4;5;9;2;7;3;8;6;7;9;6;11;4;9;10;6;9;7;15;6;6;8;6;3;2;7;2;4;3;2;4;2;2;3;3;4;4;5;4;4;2;4;1;6;3;6;6;2;2;2;5;3;1;4;7;4;1;6;1;2;2;2;4;1;1;2;2;1;1;1;2;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250010605000008;8;552;552;131;115;229;17;2;7;2;2;18;1;6;1;9;12;0;0;0;0;0;17;0;2;0;1;3;0;2;1;0;3;2;3;6;13;9;8;7;11;15;10;3;9;12;12;16;18;16;7;14;16;15;7;14;14;11;15;10;7;8;9;9;10;7;6;3;6;7;10;8;2;7;6;2;6;3;4;7;3;7;10;4;6;6;5;0;5;3;6;7;2;3;5;3;7;4;2;0;0;3;3;1;2;0;0;5;1;3;2;0;0;6;0;0;1;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
250010605000009;8;785;785;181;150;351;37;3;7;12;2;18;2;20;0;2;0;0;0;0;0;0;10;1;0;0;1;1;0;2;2;1;1;0;1;9;16;12;10;18;21;14;14;16;20;13;23;22;21;20;21;16;26;15;20;15;18;12;16;9;10;12;8;6;12;8;7;9;10;6;9;8;8;8;14;7;9;9;10;16;9;7;8;11;10;4;8;6;4;4;6;6;4;3;2;1;5;4;1;2;1;4;5;6;5;5;4;3;1;5;3;2;3;2;5;1;3;0;1;2;1;1;0;0;1;1;0;2;0;0;0;0;0;0;0
250010605000010;8;581;581;144;122;243;32;6;3;3;1;20;0;1;0;4;2;0;0;0;0;0;9;1;1;0;0;0;1;0;1;0;2;2;1;7;8;11;6;7;11;10;11;18;14;19;14;17;18;19;13;12;13;17;12;8;8;9;10;8;5;9;15;9;10;4;7;11;5;8;8;6;3;11;7;6;7;8;7;6;7;5;4;6;8;4;5;3;4;2;1;6;2;3;2;6;4;7;1;1;2;5;0;4;4;1;6;1;0;5;2;1;1;1;0;0;0;0;0;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0
