Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
250010605000001;1;30;0;0;38;0;28;0;0;27;0
250010605000002;1;10;0;0;6;0;9;0;0;4;0
250010605000003;1;24;0;0;8;0;10;0;0;13;0
250010605000004;8;16;0;0;21;0;20;0;0;21;0
250010605000005;5;11;0;0;14;0;14;0;0;20;0
250010605000006;8;10;0;0;15;0;5;0;0;13;0
250010605000007;8;8;0;0;8;0;7;0;0;10;0
250010605000008;8;12;0;0;14;0;16;1;0;10;0
250010605000009;8;12;1;0;13;0;15;1;0;15;0
250010605000010;8;10;0;2;17;0;4;0;1;7;0
250010605000011;1;33;1;1;20;0;26;1;2;32;0
250010605000012;5;4;0;0;3;0;3;0;0;0;0
250010605000013;5;3;0;0;3;0;4;0;0;4;0
250010605000014;8;17;0;0;9;0;6;0;0;13;0
250020505000001;1;18;0;0;20;0;23;0;0;18;0
250020505000002;1;7;0;0;11;0;16;0;0;4;0
250020505000003;8;8;0;1;4;0;6;0;3;6;0
250020505000004;8;6;0;0;5;0;3;0;0;4;0
250020505000005;8;1;0;0;7;0;0;0;0;3;0
250020505000006;8;14;0;0;12;0;24;0;0;5;0
250020505000007;8;5;0;0;6;0;7;0;0;9;0
250020505000008;8;4;0;0;2;0;2;0;0;3;0
250020505000009;8;15;1;1;12;0;10;0;2;15;0
250020505000010;8;1;0;0;0;0;0;0;0;0;0
250020505000011;1;26;1;0;21;0;26;0;0;18;0
250030405000001;1;19;1;0;6;0;7;1;0;2;0
250030405000002;1;15;1;1;17;0;16;0;0;21;0
250030405000003;1;9;1;0;13;0;7;0;0;8;0
250030405000004;1;8;0;0;6;0;5;0;0;7;0
250030405000005;1;0;0;0;11;0;3;2;0;24;0
250030405000006;1;8;0;0;9;0;5;0;0;7;0
250030405000007;1;12;0;0;9;0;16;0;0;10;0
250030405000008;1;11;0;1;13;0;10;0;0;10;0
250030405000009;1;17;0;0;18;0;11;0;0;16;0
250030405000010;1;19;0;0;18;0;10;1;0;17;0
250030405000011;1;6;0;0;16;0;8;0;0;6;0
250030405000012;1;16;0;0;11;0;18;1;0;11;0
250030405000013;1;10;1;0;12;0;14;1;0;9;0
250030405000014;1;7;0;0;6;0;12;0;1;8;0
250030405000015;1;23;9;1;20;0;15;4;1;18;0
250030405000016;8;32;7;0;17;0;16;18;0;29;0
