Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;
250010605000001;1;498;2;5;9;10;18;19;11;23;20;21;24;14;14;11;12;18;15;8;17;8;3;8;4;8;9;6;5;11;7;8;7;8;5;8;4;9;9;9;4;4;6;5;6;5;6;1;2;2;3;2;3;1;2;0;2;0;2;2;2;0;1;1;4;1;4;1;1;2;0;4;1;0;0;4;0;7;187;26;221;1;11;4;4;0;536;5;9;8;13;17;19;14;16;20;15;22;12;15;10;17;16;10;18;16;8;8;5;6;14;7;9;15;12;6;9;10;8;8;6;7;3;11;7;10;8;4;4;8;4;1;5;0;4;2;3;4;2;1;2;1;3;4;4;1;3;1;0;2;2;3;2;3;1;4;1;1;2;3;0;0;2;85;181;186;5;15;2;9;0
250010605000002;1;168;3;1;2;2;3;3;3;5;5;5;9;3;4;2;2;5;5;3;7;6;2;5;1;1;4;0;2;1;2;1;0;2;4;1;8;2;3;2;3;4;3;2;0;1;1;2;0;1;2;3;3;3;0;3;1;1;0;1;0;2;0;1;1;2;0;2;1;1;1;1;0;1;0;0;0;2;69;19;59;1;5;0;4;0;218;1;2;4;4;10;12;4;5;8;9;10;5;5;4;2;5;4;1;4;2;3;3;4;1;5;1;1;6;4;5;7;4;2;4;5;2;2;1;6;4;5;1;2;0;2;5;0;2;3;1;3;0;0;0;3;3;1;2;0;3;1;0;3;0;2;1;0;0;1;0;0;0;0;2;0;1;38;61;82;2;8;1;5;0
250010605000003;1;318;3;5;3;8;5;9;15;3;11;9;10;11;4;4;6;6;5;7;4;7;3;3;7;7;6;9;3;6;4;4;5;1;4;9;3;10;3;6;7;2;7;6;2;3;1;1;3;6;1;1;1;6;0;2;2;4;2;1;6;2;0;2;3;1;5;1;1;2;1;0;1;0;0;1;1;5;129;31;102;2;10;3;14;3;389;2;6;12;4;5;8;9;5;8;9;2;7;9;7;11;7;6;2;9;1;12;6;8;8;8;6;7;4;7;10;9;8;7;1;3;6;9;6;7;2;4;3;2;2;4;4;3;5;3;4;7;8;5;2;2;3;1;6;4;2;5;0;1;3;5;6;2;2;2;4;0;1;5;1;2;13;106;116;103;7;5;7;5;7
250010605000004;8;253;0;3;4;7;6;9;10;14;11;13;13;5;9;7;6;12;6;6;13;5;9;7;5;9;4;5;3;2;4;1;3;2;3;1;2;1;4;2;1;2;1;0;0;0;1;2;1;1;1;1;2;1;1;0;1;0;1;1;2;1;0;2;0;0;1;1;0;1;1;0;0;0;0;0;0;0;76;10;131;0;8;0;7;0;265;2;3;0;11;6;9;11;11;9;12;10;11;9;10;2;6;7;9;8;6;8;6;4;8;5;1;4;3;5;4;4;2;5;4;2;1;1;1;3;4;0;3;1;1;1;0;1;3;1;1;3;1;2;0;1;1;1;2;2;2;0;0;4;0;0;1;0;1;2;1;0;0;1;0;0;1;19;105;104;0;7;0;6;1
250010605000005;5;193;0;0;1;1;5;4;5;6;9;7;6;4;6;10;6;7;5;2;8;12;6;8;7;3;8;7;4;0;3;0;1;1;2;0;0;2;0;2;2;2;1;0;1;0;1;2;0;1;2;2;3;1;0;2;1;2;0;2;3;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;2;60;23;88;1;9;1;4;0;214;0;1;2;6;8;9;5;8;5;11;7;6;4;4;8;8;8;6;4;7;2;3;4;4;11;3;3;1;5;2;1;2;4;3;1;4;1;2;2;2;1;1;3;4;2;4;0;0;1;3;1;3;2;2;0;0;1;1;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;55;63;64;0;9;0;5;0
250010605000006;8;159;1;2;2;2;1;6;6;3;5;4;11;3;5;9;1;7;3;3;9;2;4;4;6;3;4;4;2;2;2;3;2;5;2;1;0;0;1;1;0;2;1;3;0;0;0;1;0;4;1;3;0;0;2;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;2;0;0;0;0;0;0;3;35;24;77;2;3;7;1;0;228;1;3;6;4;1;9;6;13;15;12;11;7;5;5;3;8;4;7;5;5;6;4;1;5;3;2;5;5;6;3;5;2;5;0;2;2;2;1;1;2;3;3;2;2;2;1;4;2;0;1;2;0;3;0;1;2;2;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;2;53;38;106;5;2;2;3;1
250010605000007;8;128;0;1;1;2;2;0;3;0;2;1;4;3;4;7;4;5;2;4;8;1;6;1;9;3;3;3;5;1;1;2;1;3;1;0;1;1;1;1;2;2;2;1;1;2;1;0;0;3;0;3;1;0;0;1;3;1;0;0;1;0;0;3;0;0;0;1;0;0;0;0;1;1;0;0;0;1;42;12;61;0;1;1;4;1;133;2;2;2;2;2;4;5;2;4;2;4;3;3;2;2;6;1;4;2;4;3;6;5;2;3;2;1;2;1;4;1;1;1;2;3;1;1;1;0;2;1;2;2;1;0;1;1;1;2;1;3;1;0;0;0;1;1;4;2;0;0;2;0;1;2;0;1;0;0;1;0;0;0;1;0;1;19;49;47;1;5;1;1;0
250010605000008;8;182;2;5;4;6;2;3;3;6;8;10;7;4;6;8;6;4;6;7;6;10;4;1;5;5;4;4;1;3;0;1;2;1;3;2;2;1;0;0;0;0;0;0;3;2;0;0;2;1;0;1;1;2;3;0;0;3;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;3;1;53;12;87;0;2;3;4;0;195;2;3;7;3;0;6;7;6;8;8;8;3;7;8;9;3;8;6;4;5;6;5;2;4;5;4;3;2;1;2;2;6;2;0;2;0;2;1;3;3;3;0;1;3;2;2;1;0;0;2;1;0;0;0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;3;18;68;73;1;4;2;8;0
250010605000009;8;300;3;4;6;6;11;11;5;11;13;12;11;10;6;13;9;10;6;11;9;8;5;5;2;3;3;4;1;3;5;6;1;4;4;3;2;3;4;1;3;2;5;4;4;4;3;1;2;2;3;1;1;2;3;2;1;1;0;2;0;1;1;0;1;0;2;1;2;1;1;0;2;1;1;1;2;3;95;15;139;3;4;8;6;0;292;4;3;7;5;4;9;7;12;8;9;9;10;9;13;6;10;9;7;2;8;4;5;7;3;3;5;6;3;2;4;4;2;1;3;5;9;2;6;3;3;6;4;3;2;4;2;2;2;2;3;1;2;1;1;1;0;1;1;2;0;0;0;1;3;3;1;1;3;0;0;0;1;1;0;0;7;28;107;121;2;3;5;3;0
250010605000010;8;165;0;0;2;1;8;5;9;10;7;9;9;8;7;6;7;5;5;6;5;5;4;3;4;2;3;4;0;0;2;0;2;2;0;2;1;2;1;3;2;1;1;0;1;1;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;1;42;4;103;0;4;0;0;0;185;1;3;0;4;6;8;9;4;9;9;8;5;5;6;9;6;3;2;4;3;3;1;3;8;5;4;2;2;3;3;3;2;2;1;4;2;4;3;2;3;3;1;0;2;1;1;2;1;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;1;11;73;77;1;6;0;3;0
